id,multiplier,recorded_at
6005,2.6100,2026-05-22 10:41:35.633858+00
6006,7.1600,2026-05-22 10:42:16.981377+00
6007,2.0300,2026-05-22 10:42:42.021577+00
6008,1.4500,2026-05-22 10:42:58.821048+00
6009,1.1800,2026-05-22 10:43:15.63652+00
6010,1.2500,2026-05-22 10:43:32.354016+00
6011,3.3600,2026-05-22 10:43:57.252285+00
6012,2.2700,2026-05-22 10:44:22.432485+00
6013,9.9100,2026-05-22 10:44:55.851226+00
6014,7.1600,2026-05-22 10:46:10.545447+00
6015,1.0200,2026-05-22 10:46:18.819542+00
6016,1.2000,2026-05-22 10:46:35.421087+00
6017,9.0200,2026-05-22 10:47:16.547577+00
6018,3.0700,2026-05-22 10:47:41.550973+00
6019,6.5700,2026-05-22 10:48:23.232359+00
6020,4.0200,2026-05-22 10:48:56.555977+00
6021,1.4600,2026-05-22 10:49:13.192625+00
6022,2.1900,2026-05-22 10:49:29.881992+00
6023,3.1100,2026-05-22 10:50:03.150855+00
6024,1.0600,2026-05-22 10:50:11.557061+00
6025,1.2500,2026-05-22 10:50:28.128953+00
6026,146.3300,2026-05-22 10:51:42.094174+00
6027,3.2600,2026-05-22 10:52:15.563474+00
6028,14.6600,2026-05-22 10:52:56.888563+00
6029,1.4300,2026-05-22 10:53:22.001427+00
6030,1.9300,2026-05-22 10:53:38.745593+00
6031,8.7100,2026-05-22 10:54:20.271929+00
6032,1.7900,2026-05-22 10:54:36.890385+00
6033,1.1400,2026-05-22 10:54:53.602729+00
6034,1.1300,2026-05-22 10:55:10.34702+00
6035,1.2300,2026-05-22 10:55:26.910955+00
6036,2.1000,2026-05-22 10:55:51.899719+00
6037,19.3300,2026-05-22 10:56:33.189449+00
6038,1.9000,2026-05-22 10:56:58.441392+00
6039,1.5900,2026-05-22 10:57:15.11342+00
6040,1.8800,2026-05-22 10:57:40.122679+00
6041,8.4500,2026-05-22 10:58:13.120025+00
6042,25.8000,2026-05-22 10:59:11.430444+00
6043,1.4500,2026-05-22 10:59:28.072593+00
6044,1.2800,2026-05-22 10:59:44.89624+00
6045,4.3200,2026-05-22 11:00:18.151026+00
6046,6.3600,2026-05-22 11:00:51.346802+00
6047,16.4600,2026-05-22 11:01:41.070084+00
6048,9.9000,2026-05-22 11:02:14.030061+00
6049,66.6300,2026-05-22 11:03:20.479967+00
6050,3.9100,2026-05-22 11:03:54.172891+00
6051,2.1700,2026-05-22 11:04:10.858469+00
6052,1.3000,2026-05-22 11:04:27.483448+00
6053,8.9300,2026-05-22 11:05:08.692486+00
6054,1.4300,2026-05-22 11:05:25.241743+00
6055,2.6500,2026-05-22 11:05:50.235605+00
6056,2.2700,2026-05-22 11:06:15.038482+00
6057,2.8200,2026-05-22 11:06:40.108418+00
6058,11.7800,2026-05-22 11:07:29.836066+00
6059,2.1600,2026-05-22 11:07:46.531816+00
6060,4.5400,2026-05-22 11:08:19.577001+00
6061,1.9000,2026-05-22 11:08:44.711632+00
6062,1.8300,2026-05-22 11:09:01.16059+00
6063,21.3600,2026-05-22 11:09:59.113053+00
6064,12.4300,2026-05-22 11:10:40.723402+00
6065,1.0600,2026-05-22 11:10:57.39179+00
6066,1.5000,2026-05-22 11:11:14.182499+00
6067,1.5600,2026-05-22 11:11:30.72152+00
6068,1.3500,2026-05-22 11:11:47.487874+00
6069,1.7600,2026-05-22 11:12:04.160197+00
6070,2.0100,2026-05-22 11:12:29.045063+00
6071,3.8400,2026-05-22 11:13:02.492634+00
6072,15.4700,2026-05-22 11:13:43.785644+00
6073,3.8100,2026-05-22 11:14:17.317087+00
6074,1.1900,2026-05-22 11:14:34.050108+00
6075,1.1900,2026-05-22 11:14:50.819703+00
6076,1.7000,2026-05-22 11:15:07.438893+00
6077,15.7600,2026-05-22 11:15:57.213166+00
6078,6.9300,2026-05-22 11:16:30.240646+00
6079,1.1600,2026-05-22 11:16:47.072551+00
6080,1.3100,2026-05-22 11:17:03.671955+00
6081,2.1100,2026-05-22 11:17:28.756123+00
6082,2.1100,2026-05-22 11:17:45.212319+00
6083,1.8400,2026-05-22 11:18:10.460798+00
6084,1.1200,2026-05-22 11:18:18.809126+00
6085,8.4300,2026-05-22 11:19:00.075258+00
6086,3.4500,2026-05-22 11:19:33.512328+00
6087,3.5600,2026-05-22 11:19:58.256449+00
