1,3.6800,2026-05-15 08:02:42.641234+00
2,1.7100,2026-05-15 08:03:06.236418+00
3,69.7600,2026-05-15 08:04:10.443428+00
4,1.1900,2026-05-15 08:04:22.169743+00
5,1.6700,2026-05-15 08:04:45.800498+00
6,1.8100,2026-05-15 08:05:03.305471+00
7,2.1900,2026-05-15 08:05:26.765281+00
8,0.6200,2026-05-15 08:06:01.823323+00
9,29.4200,2026-05-15 08:07:00.354454+00
10,1.4900,2026-05-15 08:07:17.934535+00
11,1.8100,2026-05-15 08:07:35.488062+00
12,1.9200,2026-05-15 08:07:58.820476+00
13,1.8400,2026-05-15 08:08:16.469127+00
14,8.8900,2026-05-15 08:08:57.327509+00
15,44.1000,2026-05-15 08:10:01.574003+00
16,4.3600,2026-05-15 08:10:30.740962+00
17,2.2000,2026-05-15 08:10:54.209906+00
18,2.2900,2026-05-15 08:11:06.008086+00
19,2.2000,2026-05-15 08:11:11.876676+00
20,3.0700,2026-05-15 08:11:23.644441+00
21,83.0900,2026-05-15 08:12:27.432602+00
22,3.9700,2026-05-15 08:13:02.695036+00
23,0.8200,2026-05-15 08:13:37.852616+00
24,1.7300,2026-05-15 08:13:55.659939+00
25,1.4900,2026-05-15 08:14:13.365864+00
26,2.0400,2026-05-15 08:14:36.956846+00
27,1.2900,2026-05-15 08:15:18.10554+00
28,1.2800,2026-05-15 08:15:29.863481+00
29,1.7800,2026-05-15 08:15:53.439488+00
30,10.1900,2026-05-15 08:16:57.822135+00
31,1.6800,2026-05-15 08:17:15.388331+00
32,28.7600,2026-05-15 08:18:13.945028+00
33,1.1600,2026-05-15 08:18:25.678474+00
34,2.0400,2026-05-15 08:18:55.098147+00
35,1.2800,2026-05-15 08:19:06.745329+00
36,2.8400,2026-05-15 08:19:36.118741+00
37,1.9300,2026-05-15 08:19:53.79945+00
38,1.0800,2026-05-15 08:20:05.532038+00
39,1.2600,2026-05-15 08:20:23.171874+00
40,17.7100,2026-05-15 08:21:09.973892+00
41,2.9300,2026-05-15 08:21:39.283026+00
42,24.7600,2026-05-15 08:22:31.852522+00
43,1.1300,2026-05-15 08:22:49.458352+00
44,3.6300,2026-05-15 08:23:18.883103+00
45,1.3400,2026-05-15 08:23:30.641129+00
46,2.0400,2026-05-15 08:23:54.410308+00
47,1.6600,2026-05-15 08:24:12.077694+00
48,6.6700,2026-05-15 08:24:53.309012+00
49,42.2000,2026-05-15 08:25:51.734821+00
50,18.9442,2026-05-15 08:26:38.405648+00
51,4.3700,2026-05-15 08:27:13.714676+00
52,1.2200,2026-05-15 08:27:25.560029+00
53,1.0400,2026-05-15 08:28:12.487864+00
54,1.8400,2026-05-15 08:28:35.895133+00
55,1.9300,2026-05-15 08:28:53.484531+00
56,1.6900,2026-05-15 08:29:11.148757+00
57,2.6200,2026-05-15 08:29:40.450049+00
58,3.6200,2026-05-15 08:30:09.800577+00
59,1.1300,2026-05-15 08:30:21.413453+00
60,1.0000,2026-05-15 08:31:54.312281+00
61,1.6100,2026-05-15 08:32:11.867988+00
62,1.1600,2026-05-15 08:32:29.573861+00
63,2.6000,2026-05-15 08:32:52.956733+00
64,1.0100,2026-05-15 08:33:04.737457+00
65,1.3300,2026-05-15 08:33:22.244118+00
66,1.3100,2026-05-15 08:33:40.006558+00
67,4.1000,2026-05-15 08:34:09.260386+00
68,4.6700,2026-05-15 08:34:44.385872+00
69,1.1600,2026-05-15 08:34:56.053819+00
70,1.1100,2026-05-15 08:35:13.737011+00
71,1.4700,2026-05-15 08:35:31.375032+00
72,42.4400,2026-05-15 08:36:29.467213+00
73,1.9400,2026-05-15 08:37:22.115549+00
74,4.7000,2026-05-15 08:37:51.348021+00
75,1.2700,2026-05-15 08:38:09.050341+00
76,3.6900,2026-05-15 08:38:38.295123+00
77,1.1800,2026-05-15 08:38:55.904774+00
78,1.6000,2026-05-15 08:39:13.463338+00
79,1.9900,2026-05-15 08:39:54.418921+00
80,2.6000,2026-05-15 08:40:23.733856+00
81,2.9300,2026-05-15 08:40:47.028431+00
82,1.0800,2026-05-15 08:41:04.715986+00
83,3.0000,2026-05-15 08:41:28.051998+00
84,4.1000,2026-05-15 08:41:57.419382+00
85,23.6600,2026-05-15 08:42:55.878344+00
86,3.6300,2026-05-15 08:43:25.183974+00
87,1.1700,2026-05-15 08:43:36.8954+00
88,1.0600,2026-05-15 08:43:48.652502+00
89,6.9700,2026-05-15 08:44:29.655001+00
90,44.3900,2026-05-15 08:45:27.656866+00
91,1.4200,2026-05-15 08:45:45.472587+00
92,3.7900,2026-05-15 08:46:14.702447+00
93,1.0300,2026-05-15 08:46:32.418825+00
94,2.8200,2026-05-15 08:46:55.956565+00
95,0.2100,2026-05-15 08:47:31.059304+00
96,4.3800,2026-05-15 08:48:00.315945+00
97,1.2300,2026-05-15 08:48:17.994479+00
98,2.6000,2026-05-15 08:48:41.469148+00
99,3.9700,2026-05-15 08:49:10.730937+00
100,2.0800,2026-05-15 08:49:34.293776+00
101,1.2700,2026-05-15 08:49:51.955143+00
102,2.1200,2026-05-15 08:50:09.533273+00
103,1.4900,2026-05-15 08:50:27.187494+00
104,2.3400,2026-05-15 08:50:50.668984+00
105,4.3100,2026-05-15 08:51:25.861901+00
106,9.1800,2026-05-15 08:52:06.816604+00
107,1.9700,2026-05-15 08:52:47.82503+00
108,1.8300,2026-05-15 08:53:11.359492+00
109,6.8200,2026-05-15 08:53:46.546393+00
110,3.2200,2026-05-15 08:54:15.937936+00
111,91.2930,2026-05-15 08:55:14.169075+00
112,1.0800,2026-05-15 08:55:31.870484+00
113,1.4000,2026-05-15 08:55:49.510004+00
114,1.1900,2026-05-15 08:56:01.276544+00
115,3.7700,2026-05-15 08:56:30.62183+00
116,1.4900,2026-05-15 08:56:48.179995+00
117,1.1100,2026-05-15 08:57:05.89929+00
118,20.2500,2026-05-15 08:57:52.431348+00
119,3.7900,2026-05-15 08:58:27.679273+00
120,16.0000,2026-05-15 08:59:14.417142+00
121,1.3000,2026-05-15 08:59:32.182313+00
122,1.6900,2026-05-15 08:59:49.939449+00
123,2.9900,2026-05-15 09:00:13.37024+00
124,1.0700,2026-05-15 09:00:31.237962+00
125,1.2800,2026-05-15 09:00:43.0304+00
126,2.3400,2026-05-15 09:01:06.61997+00
127,1.1900,2026-05-15 09:01:24.255398+00
128,1.9000,2026-05-15 09:01:48.011126+00
129,17.0400,2026-05-15 09:02:35.628349+00
130,1.2200,2026-05-15 09:02:47.686859+00
131,9.3700,2026-05-15 09:03:29.401006+00
132,19.9700,2026-05-15 09:04:23.243459+00
133,4.9800,2026-05-15 09:04:53.017266+00
134,1.0800,2026-05-15 09:05:11.066787+00
135,6.8600,2026-05-15 09:05:46.828467+00
136,0.4300,2026-05-15 09:06:16.767205+00
137,1.3300,2026-05-15 09:06:34.954608+00
138,1.9900,2026-05-15 09:06:52.920334+00
